name,artist,mood
OMG,NewJeans,energentic
MOONLIGHT SUNRISE,TWICE (트와이스),energentic
Sugar Rush Ride,투모로우바이투게더,energentic
가시 (Rose),GOT the beat,energentic
Ditto,NewJeans,energentic
Snowy,ITZY (있지),energentic
Shout It Out,카라,energentic
Nxde,(여자)아이들,energentic
Yeah Yeah Yeah,BLACKPINK,energentic
After LIKE,IVE (아이브),energentic
FOREVER 1,소녀시대 (GIRLS' GENERATION),energentic
Brave,TWICE (트와이스),energentic
That That (prod. & feat. SUGA of BTS),싸이 (PSY),energentic
Up!,Kep1er (케플러),energentic
Stay This Way,프로미스나인,energentic
DEEP,효연 (HYO),energentic
내가 제일 잘 나가,2NE1,energentic
ASAP,STAYC(스테이씨),energentic
YEPPI YEPPI,aespa,energentic
SHUT DOWN,CLASS:y (클라씨),energentic
Electric Shock,f(x),energentic
Catch Me If You Can,소녀시대 (GIRLS' GENERATION),energentic
WA DA DA,Kep1er (케플러),energentic
마지막처럼,BLACKPINK,energentic
No Love Again,태연 (TAEYEON),energentic
HIP,마마무 (Mamamoo),energentic
빨간 맛 (Red Flavor),Red Velvet (레드벨벳),energentic
BOP BOP!,VIVIZ (비비지),energentic
VENOM,BVNDIT (밴디트),energentic
Change (Feat. 용준형 From Beast),현아,energentic
GingaMingaYo (the strange world),Billlie (빌리),energentic
덤디덤디 (DUMDi DUMDi),(여자)아이들,energentic
Celeb,싸이 (PSY),energentic
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),energentic
POP,bugAboo (버가부),energentic
PICK ME,PRODUCE 101,energentic
심쿵해 (Heart Attack),AOA,energentic
When We Disco (Duet with 선미),박진영,energentic
KA-BOOM!,Ex-it (효린 & 우주소녀),energentic
Thank You,브레이브걸스,energentic
WE GO,프로미스나인,energentic
UP,CLASS:y (클라씨),energentic
짐살라빔 (Zimzalabim),Red Velvet (레드벨벳),energentic
FINGERTIP,여자친구 (GFRIEND),energentic
Dream Girl,SHINee (샤이니),energentic
Don't fight the feeling,EXO,energentic
오늘 뭐해,4minute,energentic
RUN2U,STAYC(스테이씨),energentic
IDOL,방탄소년단,energentic
OMG,NewJeans,energentic
MOONLIGHT SUNRISE,TWICE (트와이스),energentic
Sugar Rush Ride,투모로우바이투게더,energentic
가시 (Rose),GOT the beat,energentic
Ditto,NewJeans,energentic
Snowy,ITZY (있지),energentic
Shout It Out,카라,energentic
Nxde,(여자)아이들,energentic
Yeah Yeah Yeah,BLACKPINK,energentic
After LIKE,IVE (아이브),energentic
FOREVER 1,소녀시대 (GIRLS' GENERATION),energentic
Brave,TWICE (트와이스),energentic
That That (prod. & feat. SUGA of BTS),싸이 (PSY),energentic
Up!,Kep1er (케플러),energentic
Stay This Way,프로미스나인,energentic
DEEP,효연 (HYO),energentic
내가 제일 잘 나가,2NE1,energentic
ASAP,STAYC(스테이씨),energentic
YEPPI YEPPI,aespa,energentic
SHUT DOWN,CLASS:y (클라씨),energentic
Electric Shock,f(x),energentic
Catch Me If You Can,소녀시대 (GIRLS' GENERATION),energentic
WA DA DA,Kep1er (케플러),energentic
마지막처럼,BLACKPINK,energentic
No Love Again,태연 (TAEYEON),energentic
HIP,마마무 (Mamamoo),energentic
빨간 맛 (Red Flavor),Red Velvet (레드벨벳),energentic
BOP BOP!,VIVIZ (비비지),energentic
VENOM,BVNDIT (밴디트),energentic
Change (Feat. 용준형 From Beast),현아,energentic
GingaMingaYo (the strange world),Billlie (빌리),energentic
덤디덤디 (DUMDi DUMDi),(여자)아이들,energentic
Celeb,싸이 (PSY),energentic
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),energentic
POP,bugAboo (버가부),energentic
PICK ME,PRODUCE 101,energentic
심쿵해 (Heart Attack),AOA,energentic
When We Disco (Duet with 선미),박진영,energentic
KA-BOOM!,Ex-it (효린 & 우주소녀),energentic
Thank You,브레이브걸스,energentic
WE GO,프로미스나인,energentic
UP,CLASS:y (클라씨),energentic
짐살라빔 (Zimzalabim),Red Velvet (레드벨벳),energentic
FINGERTIP,여자친구 (GFRIEND),energentic
Dream Girl,SHINee (샤이니),energentic
Don't fight the feeling,EXO,energentic
오늘 뭐해,4minute,energentic
RUN2U,STAYC(스테이씨),energentic
IDOL,방탄소년단,energentic
OMG,NewJeans,energentic
MOONLIGHT SUNRISE,TWICE (트와이스),energentic
Sugar Rush Ride,투모로우바이투게더,energentic
가시 (Rose),GOT the beat,energentic
Ditto,NewJeans,energentic
Snowy,ITZY (있지),energentic
Shout It Out,카라,energentic
Nxde,(여자)아이들,energentic
Yeah Yeah Yeah,BLACKPINK,energentic
After LIKE,IVE (아이브),energentic
FOREVER 1,소녀시대 (GIRLS' GENERATION),energentic
Brave,TWICE (트와이스),energentic
That That (prod. & feat. SUGA of BTS),싸이 (PSY),energentic
Up!,Kep1er (케플러),energentic
Stay This Way,프로미스나인,energentic
DEEP,효연 (HYO),energentic
내가 제일 잘 나가,2NE1,energentic
ASAP,STAYC(스테이씨),energentic
YEPPI YEPPI,aespa,energentic
SHUT DOWN,CLASS:y (클라씨),energentic
Electric Shock,f(x),energentic
Catch Me If You Can,소녀시대 (GIRLS' GENERATION),energentic
WA DA DA,Kep1er (케플러),energentic
마지막처럼,BLACKPINK,energentic
No Love Again,태연 (TAEYEON),energentic
HIP,마마무 (Mamamoo),energentic
빨간 맛 (Red Flavor),Red Velvet (레드벨벳),energentic
BOP BOP!,VIVIZ (비비지),energentic
VENOM,BVNDIT (밴디트),energentic
Change (Feat. 용준형 From Beast),현아,energentic
GingaMingaYo (the strange world),Billlie (빌리),energentic
덤디덤디 (DUMDi DUMDi),(여자)아이들,energentic
Celeb,싸이 (PSY),energentic
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),energentic
POP,bugAboo (버가부),energentic
PICK ME,PRODUCE 101,energentic
심쿵해 (Heart Attack),AOA,energentic
When We Disco (Duet with 선미),박진영,energentic
KA-BOOM!,Ex-it (효린 & 우주소녀),energentic
Thank You,브레이브걸스,energentic
WE GO,프로미스나인,energentic
UP,CLASS:y (클라씨),energentic
짐살라빔 (Zimzalabim),Red Velvet (레드벨벳),energentic
FINGERTIP,여자친구 (GFRIEND),energentic
Dream Girl,SHINee (샤이니),energentic
Don't fight the feeling,EXO,energentic
오늘 뭐해,4minute,energentic
RUN2U,STAYC(스테이씨),energentic
IDOL,방탄소년단,energentic
