name,artist,mood
"Ave Maria, Op.52,No.6, D.839",The Hungarian Radio Choir,calm
"Grieg: Piano Concerto in A minor, Op. 16 - I. Allegro molto moderato",Krystian Zimerman,calm
Angel eyes,Hayakawa Risako,calm
Debussy: Claire De Lune,Kifu Mitsuhashi,calm
埴生の宿(즐거운 나의 집),Tokyo Ladies' Singers,calm
Liszt : Consolation (리스트 : 위로),달빛소네트,calm
MISS BRAND NEW DAY,Yumi Yamagata,calm
Bach : French Suite No.5 In G Major BWV.816 - I. Allemande (바흐 : 프랑스 모음곡 5번 사장조 - 1번. 알라망드),Johann Sebastian Bach,calm
Szymanowski : Variations In B Flat Minor Op.3 - Tema. Andanrino Tranquillo E Semplice (시마놉스키 : 변주곡 내림 나단조 작품번호 3 - 주제),Misora Ozaki,calm
HANA-BI (from 'HANA-BI'),Joe Hisaishi,calm
Poulenc : Suite Francaise Pour Piano D'Apres Claude Gervaise FP.80B - Sicilienne (풀랑크 : 클로드 제르베즈 풍의 피아노를 위한 프랑스 모음곡 - 시실리안느),Chiharu Hanaoka,calm
Chopin : Nocturne (쇼팽 : 야상곡) (숲속의 새소리),잠들기전,calm
時を超える絆 (시간을 초월하는 인연),Tsukemen,calm
La Vals De La lumiere Et la Brise,Yumi Yamagata,calm
Satie : Gymnopedie No.1 - Lent Et Douloureux (사티 : 짐노페디 1번),Erik Satie,calm
Albeniz : Suite Espanola No.1 Op.47 - V. Asturias (알베니스 : 스페인 모음곡 1번 작품번호 47 - 5번. 아스투리아스),Matsuda Gen,calm
Bizet : Carmen Suite No.2 - II. Habanera (비제 : 카르멘 모음곡 2번 - 2번. 하바네라) (파도소리),잠들기전,calm
Grieg : Peer Gynt Suite No.2 Op.55 - IV. Solveig's Song (그리그 : 페르귄트 모음곡 2번 작품번호 55 - 4번. 솔베이그의 노래),잠들기전,calm
Schumann : Scenes From Childhood Op.15 - VII. Dreaming (슈만 : 어린이의 정경 작품번호 15 - 7번. 꿈),잔잔한 피아노,calm
Beethoven : Piano Sonata No.8 In C Minor Op.13 'Pathetique' (베토벤 : 피아노 소나타 8번 다단조 작품번호 13 '비창'),잠들기전,calm
Granados : Danza Espanola No.2 'Oriental' (그라나도스 : 스페인 무곡 2번 '오리엔탈'),피아노클래식,calm
Albeniz : Suite Espanola No.1 Op.47 - VIII. Cuba (Notturno) (알베니스 : 스페인 모음곡 1번 작품번호 47 - 8번. 쿠바),편안한 클래식,calm
Borodin : Petite Suite - Nocturne (보로딘 : 작은 모음곡 - 야상곡),조용한 피아노,calm
Albeniz : Suite Espanola No.1 Op.47 - III. Sevilla (알베니즈 : 스페인 모음곡 1번 작품번호 47 - 3번. 세빌리아),상쾌한 클래식,calm
Granados : Danza Espanola No.4 'Villanesca' (그라나도스 : 스페인 무곡 4번 '비야네스카'),피아노클래식,calm
Schumann : Kreisleriana No.4 Op.16 (슈만 : 클라이슬레리아나 4번 작품번호 16),편안한 피아노,calm
Brahms : Lullaby (브람스 : 자장가),잠들기전,calm
Schumann : Scenes From Childhood Op.15 - X. Almost Too Serious (슈만 : 어린이의 정경 작품번호 15 - 10번. 약이 올라서),잔잔한 피아노,calm
Granados : Danza Espanola No.3 'Fandango Zarabanda' (그라나도스 : 스페인 무곡 3번 '판당고 사라반다'),피아노클래식,calm
Schumann : Scenes From Childhood Op.15 - XIII. The Poet Speaks (슈만 : 어린이의 정경 작품번호 15 - 13번. 시인의 이야기),잔잔한 피아노,calm
Grieg : Lyric Pieces Book II. Op.38 - I. Berceuse (그리그 : 서정 소곡집 2권 작품번호 38 - 1번. 자장가),잔잔한 피아노,calm
Albeniz : Suite Espanola No.1 Op.47 - III. Sevilla (알베니즈 : 스페인 모음곡 1번 작품번호 47 - 3번. 세빌리아),편안한 클래식,calm
Grieg : Lyric Pieces Book I. Op.12 - IV. Fairy Dance (그리그 : 서정 소곡집 1권 작품번호 12 - 4번. 요정의 춤),피아노클래식,calm
Grieg : Lyric Pieces Book II. Op.38 - I. Berceuse (그리그 : 서정 소곡집 2권 작품번호 38 - 1번. 자장가),피아노클래식,calm
Haydn : Piano Sonata In C Major Hob.XVI/7 - II. Menuet (하이든 : 피아노 소나타 다장조 - 2악장),잔잔한 피아노,calm
Mozart : Lullaby (모차르트 : 자장가),잠들기전,calm
Borodin Petite Suite - Mazurka Allegro (보로딘 작은모음곡 - 마주르카 알레그로),편안한 클래식,calm
Clementi : Piano Sonatine No.3 In C Major Op.36 - II. Un Poco Adagio (클레멘티 : 피아노 소나티네 3번 다장조 작품번호 36 - 2악장),조용한 피아노,calm
J.Strauss II : The Beautiful Blue Danube Waltz Op.314 (요한 슈트라우스 2세 : 아름답고 푸른 도나우강 왈츠 작품번호 314),잠들기전,calm
Brahms : Piano Sonata No.1 In C Major Op.1 - I. Allegro (브람스 : 피아노 소나타 1번 다장조 작품번호 1 - 1악장),편안한 클래식,calm
Brahms : 4 Piano Pieces No.4 In E Flat Major Op.119 - Rhapsodie (브람스 : 4개의 피아노 소품 4번 내림 마장조 작품번호 119 - 광시곡),편안한 클래식,calm
Brahms : 4 Piano Pieces No.4 In E Flat Major Op.119 - Rhapsodie (브람스 : 4개의 피아노 소품 4번 내림 마장조 작품번호 119 - 광시곡),상쾌한 클래식,calm
Albeniz : Suite Espanola No.1 Op.47 - IV. Cadiz (Saeta) (알베니스 : 스페인 모음곡 1번 작품번호 47 - 4번 카디즈),상쾌한 클래식,calm
Burgmueller : 18 Etudes Op.109 - The Fountain (부르크뮐러 : 18개의 연습곡 작품번호 109 - 분수),조용한 피아노,calm
Albeniz : Suite Espanola No.1 Op.47 - VI. Aragon (Fantasia) (알베니즈 : 스페인 모음곡 1번 작품번호 47 - 6번 아라곤),상쾌한 클래식,calm
Satie : Je Te Veux (사티 : 난 그대를 원해요),잠들기전,calm
Chopin : Etude No.3 In E Major Op.10 'Tristesse' (쇼팽 : 연습곡 3번 마장조 작품번호 10 '이별곡'),잠들기전,calm
Borodin : Petite Suite No.2 - Mazurka Allegretto (보로딘 : 작은 모음곡 2번 - 마주르카),상쾌한 클래식,calm
Haydn : Divertimento In G Major Hob.XVI/8 - III. Andante (하이든 : 디베르티멘토 사장조 - 3악장),잔잔한 피아노,calm
Necke : Csikos Post (네케 : 크시코스의 우편마차),잠들기전,calm
Chopin : 12 Etudes No.1 In A Flat Major Op.25 'harp Study' (쇼팽 : 12개의 연습곡 1번 내림 가장조 작품번호 25 '에올리언 하프'),상쾌한 클래식,calm
Chopin : 24 Preludes No.4 In E Minor Op.28 (쇼팽 : 24개의 전주곡 4번 마단조 작품번호 28),편안한 피아노,calm
Grieg : Lyric Pieces Book II. Op.38 - IV. Halling (그리그 : 서정 소곡집 2권 작품번호 38 - 4번. 할링),피아노클래식,calm
Chopin : Waltz No.9 In A Flat Major Op.69 'L'Adieu' (쇼팽 : 왈츠 9번 내림 가장조 작품번호 69 '이별의 왈츠'),잠들기전,calm
Beethoven : Bagatelle In A Minor WoO.59 'For Elise' (베토벤 : 바가텔 가단조 '엘리제를 위하여'),조용한 피아노,calm
Borodin : Petite Suite - Serenade (보로딘 : 작은 모음곡 - 세레나데),조용한 피아노,calm
Chopin : 24 Preludes No.7 In A Major Op.28 (쇼팽 : 24개의 전주곡 7번 가장조 작품번호 28),편안한 피아노,calm
Beethoven : Symphony No.9 In D Minor Op.125 'Choral' - IV. Ode To Joy (베토벤 : 교향곡 9번 라단조 작품번호 125 '합창' - 4악장 '환희의 송가'),잠들기전,calm
Verdi : La Traviata Act.I - Libiamo Ne'lieti Calici 'Brindisi' (베르디 : 라 트라비아타 1막 - 축배의 노래),잠들기전,calm
Chopin : 24 Preludes No.11 In B Major Op.28 (쇼팽 : 24개의 전주곡 11번 나장조 작품번호 28),편안한 피아노,calm
Haydn : Divertimento In G Major Hob.XVI/8 - II. Minuetto (하이든 : 디베르티멘토 사장조 - 2악장),편안한 피아노,calm
Chopin 24 Preludes No.3 In G Major Op.28 (쇼팽 24개의 전주곡 3번 사장조 작품번호 28),편안한 클래식,calm
Mozart : Piano Sonata No.10 In C Major K.330 - II. Andante Cantabile (모차르트 : 피아노 소나타 10번 다장조 - 2악장),편안한 피아노,calm
Liszt : Paganini Etude No.3 In G Sharp Minor S.141 'La Campanella' (리스트 : 파가니니 연습곡 3번 올림 사단조 '라 캄파넬라'),잠들기전,calm
Albeniz : Espana Suite Op.165 - VI. Zortizco (알베니즈 : 스페인 모음곡 작품번호 165 - 6번. 소르지코),조용한 피아노,calm
Chopin : Waltz No.1 In E Flat Major Op.18 'Grand Valse Brillante' (쇼팽 : 왈츠 1번 내림 마장조 작품번호 18 '화려한 대왈츠'),잠들기전,calm
Grieg : Peer Gynt Suite No.2 Op.55 - IV. Solveig's Song (그리그 : 페르귄트 모음곡 2번 작품번호 55 - 4번. 솔베이그의 노래),잔잔한 피아노,calm
Caccini : Ave Maria (카치니 : 아베 마리아),잠들기전,calm
Mendelssohn : Songs Without Words Book I. No.4 In A Major Op.19 'Confidence' (멘델스존 : 무언가 1권 4번 가장조 작품번호 19 '신뢰'),잔잔한 피아노,calm
Grieg : Lyric Pieces Book IV. Op.47 - II. Album-Leaf (그리그 : 서정 소곡집 4권 작품번호 47 - 2번. 수첩의 페이지),피아노클래식,calm
Offenbach : Orpheus In The Underworld (오펜바흐 : 천국과 지옥),잠들기전,calm
Grieg : Lyric Pieces Book V. Op.54 - Norwegian March (그리그 : 서정 소곡집 5권 작품번호 54 - 노르웨이 지방무곡),피아노클래식,calm
Beethoven : Piano Sonata No.14 In C Sharp Minor Op.27-2 Moonlight - II. Allegretto (베토벤 : 피아노 소나타 14번 다단조 작품번호 27-2 월광 - 2악장),편안한 클래식,calm
Grieg : Lyric Pieces Book VII. Op.62 - IV. Baekken (Brooklet) (그리그 : 서정적 소곡집 7권 작품번호 62 - 4번),피아노클래식,calm
Bach : The Well-Tempered Clavier Book I. Prelude And Fugue No.5 In D Major BWV.850 (바흐 : 평균율 클라비어곡집 1권 전주곡과 푸가 5번 라장조),편안한 클래식,calm
